Sesion,Id,Study,Deeds,Texteditor,Blank,Diagram,Properties,Other,Aulaweb,Fsm,Nota
6,1,1.0,1,1,139,277,232,219,44.0,1,3.0
6,2,1.0,1,1,156,158,104,243,66.0,1,1.0
6,4,1.0,1,1,356,200,245,640,114.0,1,3.0
6,5,1.0,1,1,252,223,268,277,42.0,1,3.0
6,6,1.0,1,1,434,332,251,429,127.0,1,4.0
6,7,1.0,1,1,134,147,137,186,97.0,1,2.0
6,9,1.0,1,1,167,151,173,192,52.0,1,2.0
6,10,1.0,1,1,340,273,326,296,92.0,1,4.0
6,11,1.0,1,1,345,207,223,293,48.0,1,2.0
6,12,1.0,1,1,214,228,155,315,53.0,1,2.0
6,13,1.0,1,1,131,155,196,118,38.0,1,4.0
6,14,1.0,1,1,163,217,200,266,39.0,1,3.0
6,15,1.0,1,1,319,193,168,192,56.0,1,2.0
6,16,1.0,1,1,123,227,216,260,48.0,1,2.0
6,17,1.0,1,1,244,129,203,242,72.0,1,5.0
6,18,1.0,1,1,231,173,156,258,57.0,1,4.0
6,19,0.0,1,1,88,174,240,467,0.0,1,2.0
6,20,1.0,1,1,235,264,211,650,31.0,1,2.0
6,24,1.0,1,1,317,184,163,220,82.0,1,4.0
6,25,1.0,1,1,322,84,140,165,41.0,1,3.0
6,27,1.0,1,1,156,186,184,190,25.0,1,2.0
6,28,1.0,1,1,249,207,200,272,73.0,1,4.0
6,29,1.0,1,1,152,233,323,422,100.0,1,5.0
6,30,1.0,1,1,112,187,144,452,88.0,1,3.0
6,32,1.0,1,1,321,188,319,339,106.0,1,4.0
6,34,1.0,1,1,101,237,205,120,68.0,1,2.0
6,35,1.0,1,1,180,204,195,218,94.0,1,2.0
6,36,1.0,1,1,106,252,230,195,13.0,1,3.0
6,37,1.0,1,1,214,106,172,218,40.0,1,4.0
6,38,1.0,1,1,55,101,129,164,65.0,1,4.0
6,39,1.0,1,1,280,213,199,400,79.0,1,3.0
6,41,1.0,1,1,287,244,270,215,79.0,1,4.0
6,42,1.0,1,1,254,254,220,172,121.0,1,2.0
6,44,1.0,1,1,155,323,231,434,114.0,1,4.0
6,46,1.0,1,1,96,187,179,266,74.0,1,1.0
6,47,1.0,1,1,240,160,147,440,85.0,1,0.0
6,48,1.0,1,1,161,163,210,292,28.0,1,3.0
6,49,1.0,1,1,370,193,274,417,87.0,1,3.0
6,50,1.0,1,1,108,185,115,219,71.0,1,2.0
6,51,1.0,1,1,254,158,235,301,113.0,1,1.0
6,52,1.0,1,1,316,221,227,254,32.0,1,3.0
6,53,1.0,1,1,413,158,301,151,17.0,1,4.0
6,54,1.0,1,1,151,142,97,134,68.0,1,1.0
6,56,1.0,1,1,378,196,215,371,78.0,1,4.0
6,57,1.0,1,1,49,114,168,87,16.0,1,3.0
6,59,1.0,1,1,232,186,109,275,68.0,1,2.0
6,60,1.0,1,1,176,190,148,265,85.0,1,1.0
6,61,1.0,1,1,361,197,193,296,82.0,1,2.0
6,63,1.0,2,1,327,220,167,164,98.0,1,1.0
6,64,1.0,1,1,153,127,113,126,31.0,1,2.0
6,65,1.0,1,1,150,254,237,278,56.0,1,2.0
6,66,1.0,1,1,271,135,207,505,107.0,1,3.0
6,67,1.0,1,1,130,190,227,515,141.0,1,3.0
6,68,1.0,1,1,232,157,194,139,67.0,1,4.0
6,69,1.0,1,1,88,140,105,187,103.0,1,2.0
6,70,1.0,1,1,115,208,309,231,22.0,1,4.0
6,72,1.0,1,1,310,211,260,513,137.0,1,3.0
6,73,0.0,1,1,194,191,222,167,0.0,1,2.0
6,74,1.0,1,1,583,220,286,269,122.0,1,2.0
6,75,1.0,1,1,138,166,151,320,66.0,1,2.0
6,76,1.0,1,1,274,333,234,386,92.0,1,2.0
6,78,1.0,1,1,169,167,274,277,83.0,1,3.0
6,79,1.0,1,1,97,201,136,260,58.0,1,3.0
6,80,1.0,1,1,206,186,214,337,60.0,1,3.0
6,81,1.0,1,1,143,168,210,243,86.0,1,3.0
6,82,1.0,1,1,268,248,136,436,119.0,1,2.0
6,83,1.0,1,1,213,196,198,384,55.0,1,2.0
6,85,1.0,1,1,135,262,286,407,85.0,1,5.0
6,86,1.0,1,1,373,205,348,213,61.0,1,4.0
6,87,1.0,1,1,203,300,235,223,79.0,1,3.0
6,88,1.0,1,1,326,197,261,246,60.0,1,3.0
6,89,0.0,1,1,33,67,225,272,5.0,1,1.0
6,90,1.0,1,1,192,136,113,391,33.0,1,4.0
6,91,1.0,1,1,316,162,155,316,16.0,1,3.0
6,92,1.0,1,1,66,130,138,177,50.0,1,1.0
6,93,1.0,1,1,154,145,294,236,30.0,1,2.0
6,94,1.0,1,1,243,232,177,290,77.0,1,3.0
6,95,1.0,1,1,204,243,314,228,75.0,1,4.0
6,96,1.0,1,1,139,194,209,142,62.0,1,3.0
6,97,1.0,1,1,205,115,122,216,107.0,1,1.0
6,98,1.0,1,1,81,144,217,176,0.0,1,4.0
6,99,1.0,1,1,191,218,158,334,73.0,1,2.0
6,102,1.0,1,1,220,112,177,229,17.0,1,2.0
6,104,1.0,1,1,155,132,205,164,44.0,1,3.0
