Sesion,Id,Study,Deeds,Texteditor,Blank,Diagram,Properties,Other,Aulaweb,Fsm,Nota
2,1,1.0,1,1,57,39,16,64,9.0,0,4.0
2,2,1.0,1,1,36,27,9,55,14.0,0,3.0
2,3,1.0,1,1,77,32,5,60,19.0,0,3.0
2,4,1.0,1,1,88,24,10,209,21.0,1,5.0
2,5,1.0,1,1,83,49,24,61,28.0,0,4.0
2,6,1.0,1,1,91,31,6,93,27.0,0,5.0
2,7,1.0,1,1,65,26,14,56,30.0,0,3.0
2,8,1.0,1,1,42,29,15,22,17.0,0,3.0
2,10,1.0,1,1,72,30,26,65,29.0,0,4.0
2,11,1.0,1,1,97,33,11,63,25.0,0,3.0
2,12,1.0,1,1,61,35,13,160,29.0,0,3.0
2,14,1.0,1,1,59,31,10,71,19.0,0,5.0
2,15,1.0,1,1,68,22,17,30,6.0,0,2.0
2,16,1.0,1,1,43,50,27,69,12.0,0,2.0
2,17,1.0,1,1,46,21,19,28,15.0,0,3.0
2,18,1.0,1,1,60,25,8,74,17.0,0,4.0
2,19,0.0,1,1,42,26,26,209,0.0,0,3.0
2,20,1.0,1,1,76,28,14,76,22.0,0,2.0
2,21,1.0,1,1,38,27,35,61,21.0,0,4.0
2,22,1.0,1,1,61,36,13,73,8.0,0,4.0
2,24,1.0,1,1,61,42,8,95,36.0,0,2.0
2,27,1.0,1,1,32,35,23,32,0.0,0,0.0
2,28,1.0,1,1,43,28,7,55,16.0,0,5.0
2,29,1.0,1,1,29,20,19,194,0.0,0,3.0
2,30,0.0,1,1,15,22,7,83,28.0,0,2.0
2,32,1.0,1,1,77,37,30,57,27.0,0,5.0
2,34,1.0,1,1,32,17,15,35,26.0,0,4.0
2,36,1.0,1,1,24,28,12,35,12.0,0,5.0
2,38,1.0,1,1,10,26,12,24,10.0,0,3.0
2,39,1.0,1,1,62,27,14,87,20.0,0,2.0
2,41,1.0,1,1,57,47,22,45,12.0,0,5.0
2,42,1.0,1,1,53,23,23,35,29.0,0,2.0
2,43,1.0,1,1,33,31,21,75,33.0,0,4.0
2,44,1.0,1,1,21,33,26,96,29.0,0,5.0
2,46,1.0,1,1,39,20,15,68,40.0,0,2.0
2,47,1.0,1,1,54,24,8,130,12.0,0,3.0
2,48,1.0,1,1,47,26,10,89,19.0,0,3.0
2,49,1.0,1,1,66,38,26,144,19.0,0,2.0
2,50,1.0,1,1,30,23,21,91,22.0,0,2.0
2,51,1.0,1,1,104,23,16,105,61.0,0,1.0
2,52,1.0,1,1,100,32,18,89,13.0,0,5.0
2,53,1.0,1,1,99,20,26,26,3.0,0,3.0
2,54,1.0,1,1,37,29,8,28,29.0,0,4.0
2,56,1.0,1,1,118,27,28,75,21.0,0,2.0
2,59,1.0,1,1,69,30,7,35,26.0,0,3.0
2,61,1.0,1,1,130,19,10,56,17.0,1,0.0
2,63,1.0,6,1,72,23,6,44,26.0,0,3.0
2,66,1.0,1,1,132,54,24,141,46.0,0,0.0
2,67,1.0,1,1,34,33,22,216,43.0,0,5.0
2,70,1.0,1,1,20,38,14,73,7.0,0,5.0
2,71,1.0,1,1,30,26,23,83,18.0,0,4.0
2,72,1.0,1,1,79,32,31,242,47.0,0,4.0
2,73,0.0,1,1,70,30,10,48,0.0,0,4.0
2,74,1.0,1,1,158,40,21,110,38.0,0,2.0
2,76,1.0,1,1,49,19,15,60,17.0,0,3.0
2,78,1.0,1,1,46,32,14,55,21.0,0,2.0
2,79,1.0,1,1,25,34,9,74,17.0,0,4.0
2,80,1.0,1,1,46,26,16,42,6.0,0,3.0
2,81,1.0,1,1,31,27,16,68,18.0,0,4.0
2,82,1.0,1,1,78,19,17,57,29.0,0,2.0
2,83,1.0,1,1,49,28,7,109,0.0,0,3.0
2,84,0.0,1,1,18,10,10,41,0.0,0,2.0
2,85,1.0,1,1,31,48,18,59,20.0,0,5.0
2,86,1.0,1,1,137,33,32,32,19.0,0,4.0
2,87,1.0,1,1,45,30,14,38,28.0,0,3.0
2,88,1.0,1,1,40,24,19,56,21.0,0,4.0
2,90,1.0,1,1,57,24,9,68,16.0,0,3.0
2,91,1.0,1,1,85,25,9,82,9.0,0,5.0
2,92,1.0,1,1,23,47,39,79,32.0,0,2.0
2,93,1.0,1,1,46,15,13,60,8.0,0,3.0
2,94,1.0,1,1,77,33,7,124,24.0,0,5.0
2,95,1.0,1,1,72,32,17,88,23.0,0,3.0
2,96,1.0,1,1,43,26,16,46,16.0,0,4.0
2,97,1.0,1,1,75,34,19,64,24.0,0,3.0
2,98,0.0,1,1,8,3,3,26,0.0,0,3.0
2,99,1.0,1,1,29,24,29,41,12.0,0,2.0
2,100,1.0,1,1,55,45,30,95,5.0,0,3.0
2,101,1.0,1,1,64,25,18,40,26.0,0,4.0
2,102,1.0,1,1,119,33,12,90,14.0,0,4.0
2,103,1.0,1,1,37,43,33,62,22.0,0,2.0
2,104,1.0,1,1,54,38,19,54,15.0,0,5.0
2,107,1.0,1,1,84,39,12,134,32.0,0,0.0
